Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	EC number	Organism (ID)	Rhea ID	AlphaFoldDB	PDB	BRENDA	BioCyc	PathwayCommons	SABIO-RK	Reactome	PlantReactome	SIGNOR	SignaLink	UniPathway
A6NHR9	reviewed	SMHD1_HUMAN	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)	SMCHD1 KIAA0650	Homo sapiens (Human)	3.6.1.-	9606	RHEA:13065	A6NHR9;	6MW7;			A6NHR9;					A6NHR9;	
A6NJ78	reviewed	MET15_HUMAN	12S rRNA N4-methylcytidine (m4C) methyltransferase (12S rRNA m4C methyltransferase) (EC 2.1.1.-) (Methyltransferase 5 domain-containing protein 1) (Methyltransferase-like protein 15)	METTL15 METT5D1	Homo sapiens (Human)	2.1.1.-	9606	RHEA:62524	A6NJ78;	7PNX;7PNY;7PNZ;			A6NJ78;					A6NJ78;	
A6NK06	reviewed	IRG1_HUMAN	Cis-aconitate decarboxylase (CAD) (EC 4.1.1.6) (Aconitate decarboxylase) (Aconitate decarboxylase 1) (Cis-aconitic acid decarboxylase) (Immune-responsive gene 1 protein)	ACOD1 IRG1	Homo sapiens (Human)	4.1.1.6	9606	RHEA:15253	A6NK06;	6R6U;	4.1.1.6;	MetaCyc:ENSG00000102794-MONOMER;							
B0LPN4	reviewed	RYR2_RAT	Ryanodine receptor 2 (RYR-2) (RyR2) (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Type 2 ryanodine receptor)	Ryr2	Rattus norvegicus (Rat)		10116	RHEA:29671		2K2F;					R-RNO-2672351;R-RNO-5578775;				
B0V2N1	reviewed	PTPRS_MOUSE	Receptor-type tyrosine-protein phosphatase S (R-PTP-S) (EC 3.1.3.48) (PTPNU-3) (Receptor-type tyrosine-protein phosphatase sigma) (R-PTP-sigma)	Ptprs	Mus musculus (Mouse)	3.1.3.48	10090	RHEA:10684	B0V2N1;	3SR9;					R-MMU-388844;R-MMU-8849932;				
B2RXH2	reviewed	KDM4E_HUMAN	Lysine-specific demethylase 4E (EC 1.14.11.66) (KDM4D-like protein) (Lysine-specific demethylase 4D-like) ([histone H3]-trimethyl-L-lysine(9) demethylase 4E)	KDM4E KDM4DL	Homo sapiens (Human)	1.14.11.66	9606	RHEA:60200	B2RXH2;	2W2I;	1.14.11.66;1.14.11.B19;	MetaCyc:MONOMER66-43206;	B2RXH2;		R-HSA-9819196;		B2RXH2;		
D3Z7P3	reviewed	GLSK_MOUSE	Glutaminase kidney isoform, mitochondrial (GLS) (EC 3.5.1.2) [Cleaved into: Glutaminase kidney isoform, mitochondrial 68 kDa chain; Glutaminase kidney isoform, mitochondrial 65 kDa chain]	Gls Gls1 Kiaa0838	Mus musculus (Mouse)	3.5.1.2	10090	RHEA:15889	D3Z7P3;	3SS3;3SS4;3SS5;4JKT;5W2J;					R-MMU-210500;R-MMU-5628897;R-MMU-8964539;				
E2JF22	reviewed	PIEZ1_MOUSE	Piezo-type mechanosensitive ion channel component 1 (Protein FAM38A)	Piezo1 Fam38a	Mus musculus (Mouse)		10090	RHEA:29463 RHEA:34963 RHEA:29671 RHEA:29827	E2JF22;	3JAC;4RAX;5Z10;6B3R;6BPZ;6LQI;7WLT;7WLU;8IMZ;									
E9Q401	reviewed	RYR2_MOUSE	Ryanodine receptor 2 (RYR-2) (RyR2) (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Type 2 ryanodine receptor)	Ryr2	Mus musculus (Mouse)		10090	RHEA:29671		2MC2;3IM5;3IM6;3IM7;3QR5;4ETV;4KEI;4KEJ;4KEK;4L4H;4L4I;4P9I;4P9L;5C33;5VSN;6J6L;6MM5;6MM6;6MM7;6MM8;6WOU;6WOV;7VML;7VMM;7VMN;7VMO;7VMP;7VMQ;7VMR;7VMS;					R-MMU-2672351;R-MMU-5578775;				
E9Q555	reviewed	RN213_MOUSE	E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (E3 ubiquitin-lipopolysaccharide ligase RNF213) (EC 2.3.2.-) (Mysterin) (RING finger protein 213)	Rnf213 Mystr	Mus musculus (Mouse)	2.3.2.-; 2.3.2.27; 3.6.4.-	10090	RHEA:13065		6TAX;6TAY;7OIK;7OIM;					R-MMU-983168;				UPA00143;
F1M391	reviewed	STING_RAT	Stimulator of interferon genes protein (rSTING) (Transmembrane protein 173)	Sting1 Sting Tmem173	Rattus norvegicus (Rat)		10116	RHEA:34979	F1M391;	5GRM;5GS5;					R-RNO-1834941;R-RNO-3134975;R-RNO-3249367;R-RNO-3270619;R-RNO-6798695;				
G3X982	reviewed	AOXC_MOUSE	Aldehyde oxidase 3 (EC 1.2.3.1) (Aldehyde oxidase homolog 1) (Azaheterocycle hydroxylase 3) (EC 1.17.3.-)	Aox3 Aoh1	Mus musculus (Mouse)	1.17.3.-; 1.2.3.1	10090	RHEA:16829	G3X982;	3ZYV;	1.2.3.1;								
O00141	reviewed	SGK1_HUMAN	Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)	SGK1 SGK	Homo sapiens (Human)	2.7.11.1	9606	RHEA:17989 RHEA:46608	O00141;	2R5T;3HDM;3HDN;7PUE;	2.7.11.1;		O00141;		R-HSA-1257604;R-HSA-2672351;R-HSA-6804757;R-HSA-8986944;R-HSA-9031628;		O00141;	O00141;	
O00154	reviewed	BACH_HUMAN	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)	ACOT7 BACH	Homo sapiens (Human)	3.1.2.2	9606	RHEA:16645 RHEA:30143 RHEA:30135 RHEA:40139 RHEA:40119 RHEA:40059 RHEA:30139	O00154;	2QQ2;	3.1.2.2;3.1.2.20;	MetaCyc:HS01875-MONOMER;	O00154;	O00154;	R-HSA-77289;			O00154;	UPA00199;
O00167	reviewed	EYA2_HUMAN	Eyes absent homolog 2 (EC 3.1.3.48)	EYA2 EAB1	Homo sapiens (Human)	3.1.3.48	9606	RHEA:10684	O00167;	3GEB;3HB0;3HB1;4EGC;5ZMA;7F8G;7F8H;	3.1.3.48;		O00167;	O00167;	R-HSA-5693565;			O00167;	
O00187	reviewed	MASP2_HUMAN	Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]	MASP2	Homo sapiens (Human)	3.4.21.104	9606		O00187;	1Q3X;1SZB;1ZJK;3TVJ;5JPM;	3.4.21.104;		O00187;	O00187;	R-HSA-166662 [O00187-1];R-HSA-166663 [O00187-1];R-HSA-2855086 [O00187-1];R-HSA-9705671 [O00187-1];		O00187;	O00187;	
O00194	reviewed	RB27B_HUMAN	Ras-related protein Rab-27B (EC 3.6.5.2) (C25KG)	RAB27B	Homo sapiens (Human)	3.6.5.2	9606	RHEA:19669	O00194;	2F7S;			O00194;		R-HSA-114608;R-HSA-8873719;R-HSA-8876198;			O00194;	
O00204	reviewed	ST2B1_HUMAN	Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family 2B member 1) (Sulfotransferase family cytosolic 2B member 1) (ST2B1)	SULT2B1 HSST2	Homo sapiens (Human)	2.8.2.2	9606	RHEA:22552 RHEA:51216 RHEA:52348 RHEA:52368 RHEA:52356	O00204;	1Q1Q;1Q1Z;1Q20;1Q22;		MetaCyc:HS01587-MONOMER;	O00204;	O00204;	R-HSA-156584;			O00204;	
O00217	reviewed	NDUS8_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)	NDUFS8	Homo sapiens (Human)	7.1.1.2	9606	RHEA:29091	O00217;	5XTB;5XTD;5XTH;5XTI;		MetaCyc:HS03332-MONOMER;	O00217;		R-HSA-611105;R-HSA-6799198;		O00217;	O00217;	
O00238	reviewed	BMR1B_HUMAN	Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293)	BMPR1B	Homo sapiens (Human)	2.7.11.30	9606	RHEA:44880 RHEA:18673	O00238;	3MDY;	2.7.10.2;		O00238;		R-HSA-201451;		O00238;	O00238;	
O00299	reviewed	CLIC1_HUMAN	Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	CLIC1 G6 NCC27	Homo sapiens (Human)		9606	RHEA:29823	O00299;	1K0M;1K0N;1K0O;1RK4;3O3T;3P8W;3P90;3QR6;3SWL;3TGZ;3UVH;4IQA;4JZQ;4K0G;4K0N;7F8R;7FBQ;			O00299;					O00299;	
O00303	reviewed	EIF3F_HUMAN	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	EIF3F EIF3S5	Homo sapiens (Human)	3.4.19.12	9606		O00303;	3J8B;3J8C;6YBD;6ZMW;6ZON;6ZP4;6ZVJ;7A09;7QP6;7QP7;8PPL;			O00303;		R-HSA-156827;R-HSA-72649;R-HSA-72689;R-HSA-72695;R-HSA-72702;R-HSA-72706;		O00303;	O00303;	
O00308	reviewed	WWP2_HUMAN	NEDD4-like E3 ubiquitin-protein ligase WWP2 (EC 2.3.2.26) (Atrophin-1-interacting protein 2) (AIP2) (HECT-type E3 ubiquitin transferase WWP2) (WW domain-containing protein 2)	WWP2	Homo sapiens (Human)	2.3.2.26	9606		O00308;	4Y07;5TJ7;5TJ8;5TJQ;6J1Z;6RSS;8EI5;8EI6;8EI7;8EI8;	2.3.2.26;		O00308;		R-HSA-8948751;R-HSA-9013406;R-HSA-9013409;R-HSA-9013420;R-HSA-9013507;		O00308;	O00308;	UPA00143;
O00311	reviewed	CDC7_HUMAN	Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1)	CDC7 CDC7L1	Homo sapiens (Human)	2.7.11.1	9606	RHEA:17989 RHEA:46608	O00311;	4F99;4F9A;4F9B;4F9C;5UWQ;5UWR;6YA6;6YA7;6YA8;	2.7.11.1;		O00311;		R-HSA-176187;R-HSA-68962;R-HSA-8953750;		O00311;	O00311;	
O00329	reviewed	PK3CD_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)	PIK3CD	Homo sapiens (Human)	2.7.1.137; 2.7.1.153	9606	RHEA:21292 RHEA:12709 RHEA:43396	O00329;	5DXU;5M6U;5T8F;5UBT;5VLR;6G6W;6OCO;6OCU;6PYR;6PYU;7JIS;7LM2;7LQ1;8BCY;	2.7.1.137;2.7.1.153;2.7.11.1;	MetaCyc:ENSG00000171608-MONOMER;	O00329;		R-HSA-1257604;R-HSA-1660499;R-HSA-2219530;R-HSA-512988;R-HSA-6811558;R-HSA-8853659;R-HSA-9027276;R-HSA-912526;R-HSA-912631;R-HSA-983695;		O00329;	O00329;	UPA00220;
O00338	reviewed	ST1C2_HUMAN	Sulfotransferase 1C2 (ST1C2) (EC 2.8.2.1) (Sulfotransferase 1C1) (SULT1C#1) (humSULTC2)	SULT1C2 SULT1C1	Homo sapiens (Human)	2.8.2.1	9606	RHEA:12164	O00338;	3BFX;			O00338;		R-HSA-156584;			O00338;	
O00370	reviewed	LORF2_HUMAN	LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]		Homo sapiens (Human)	2.7.7.49; 3.1.21.-	9606	RHEA:22508	O00370;	1VYB;2V0R;2V0S;7N8K;7N8S;7N94;			O00370;						
O00391	reviewed	QSOX1_HUMAN	Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6)	QSOX1 QSCN6 UNQ2520/PRO6013	Homo sapiens (Human)	1.8.3.2	9606	RHEA:17357	O00391;	3LLI;3LLK;3Q6O;4IJ3;	1.8.3.2;		O00391;		R-HSA-114608;R-HSA-381426;R-HSA-6798695;R-HSA-8957275;			O00391;	
O00408	reviewed	PDE2A_HUMAN	cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)	PDE2A	Homo sapiens (Human)	3.1.4.17	9606	RHEA:14653 RHEA:16957 RHEA:25277	O00408;	1Z1L;3IBJ;3ITM;3ITU;4C1I;4D08;4D09;4HTX;4HTZ;4JIB;5TZ3;5TZA;5TZC;5TZH;5TZW;5TZX;5TZZ;5U00;5U7D;5U7I;5U7J;5U7K;5U7L;5VP0;5VP1;5XKM;6B96;6B97;6B98;6BLF;6C7D;6C7E;6C7F;6C7G;6C7I;6C7J;6CYB;6CYC;6CYD;6ZND;6ZQZ;	3.1.4.17;		O00408;		R-HSA-418457;R-HSA-418555;			O00408;	
O00411	reviewed	RPOM_HUMAN	DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)	POLRMT	Homo sapiens (Human)	2.7.7.6	9606	RHEA:21248	O00411;	3SPA;4BOC;5OLA;6ERP;6ERQ;7A8P;7PZP;7PZR;7ZC4;	2.7.7.6;		O00411;		R-HSA-163282;R-HSA-2151201;			O00411;	
O00418	reviewed	EF2K_HUMAN	Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)	EEF2K	Homo sapiens (Human)	2.7.11.20	9606	RHEA:21436	O00418;	5J8H;5KS5;6NX4;7SHQ;8FNY;8FO6;8GM4;8GM5;	2.7.11.20;		O00418;		R-HSA-166208;		O00418;	O00418;	
O00429	reviewed	DNM1L_HUMAN	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	Homo sapiens (Human)	3.6.5.5	9606	RHEA:19669	O00429;	3W6N;3W6O;3W6P;4BEJ;4H1U;4H1V;5WP9;	3.6.5.5;		O00429;		R-HSA-75153;		O00429;	O00429;	
O00443	reviewed	P3C2A_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha)	PIK3C2A	Homo sapiens (Human)	2.7.1.137; 2.7.1.153; 2.7.1.154	9606	RHEA:18373 RHEA:12709 RHEA:21292	O00443;	2AR5;2IWL;2REA;2RED;6BTY;6BTZ;6BU0;6BUB;	2.7.1.154;	MetaCyc:HS00315-MONOMER;	O00443;	O00443;	R-HSA-1660499;R-HSA-1660514;R-HSA-1660516;R-HSA-1660517;R-HSA-432722;R-HSA-8856828;		O00443;	O00443;	
O00444	reviewed	PLK4_HUMAN	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)	PLK4 SAK STK18	Homo sapiens (Human)	2.7.11.21	9606	RHEA:17989 RHEA:46608	O00444;	2N19;3COK;4JXF;4N7V;4N7Z;4N9J;4YUR;4YYP;5LHY;5LHZ;6N45;6N46;6W38;6W3I;6W3J;	2.7.11.21;		O00444;		R-HSA-2565942;R-HSA-380259;R-HSA-380270;R-HSA-380284;R-HSA-380320;R-HSA-5620912;R-HSA-8854518;		O00444;	O00444;	
O00506	reviewed	STK25_HUMAN	Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)	STK25 SOK1 YSK1	Homo sapiens (Human)	2.7.11.1	9606	RHEA:17989 RHEA:46608	O00506;	2XIK;3W8H;4NZW;7Z4V;			O00506;				O00506;	O00506;	
O00555	reviewed	CAC1A_HUMAN	Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)	CACNA1A CACH4 CACN3 CACNL1A4	Homo sapiens (Human)		9606	RHEA:29671	O00555;	3BXK;			O00555;		R-HSA-112308;R-HSA-422356;		O00555;	O00555;	
O00571	reviewed	DDX3X_HUMAN	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)	DDX3X DBX DDX3	Homo sapiens (Human)	3.6.4.13	9606	RHEA:13065	O00571;	2I4I;2JGN;3JRV;4O2C;4O2E;4O2F;4PX9;4PXA;5E7I;5E7J;5E7M;6CZ5;6O5F;7LIU;	3.6.4.13;		O00571;		R-HSA-6798695;		O00571;	O00571;	
O00584	reviewed	RNT2_HUMAN	Ribonuclease T2 (EC 4.6.1.19) (Ribonuclease 6)	RNASET2 RNASE6PL	Homo sapiens (Human)	4.6.1.19	9606	RHEA:68052	O00584;	3T0O;	4.6.1.19;		O00584;		R-HSA-6798695;			O00584;	
O00625	reviewed	PIR_HUMAN	Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)	PIR	Homo sapiens (Human)	1.13.11.24	9606	RHEA:15381	O00625;	1J1L;3ACL;4ERO;4EWA;4EWD;4EWE;4GUL;4HLT;5JCT;6H1H;6H1I;6N0J;6N0K;			O00625;		R-HSA-8935690;			O00625;	UPA00724;
O00746	reviewed	NDKM_HUMAN	Nucleoside diphosphate kinase, mitochondrial (NDK) (NDP kinase, mitochondrial) (EC 2.7.4.6) (Nucleoside diphosphate kinase D) (NDPKD) (nm23-H4)	NME4 NM23D	Homo sapiens (Human)	2.7.4.6	9606	RHEA:44640 RHEA:18113 RHEA:38695	O00746;	1EHW;	2.7.4.6;		O00746;		R-HSA-499943;			O00746;	
O00757	reviewed	F16P2_HUMAN	Fructose-1,6-bisphosphatase isozyme 2 (FBPase 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 2) (Muscle FBPase)	FBP2	Homo sapiens (Human)	3.1.3.11	9606	RHEA:11064	O00757;	3IFA;3IFC;4HE0;4HE1;4HE2;5ET5;5ET6;5ET7;5ET8;5K54;5K55;5K56;5L0A;5Q0C;	3.1.3.11;	MetaCyc:HS05462-MONOMER;	O00757;	O00757;	R-HSA-70263;		O00757;	O00757;	UPA00138;
O00762	reviewed	UBE2C_HUMAN	Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C)	UBE2C UBCH10	Homo sapiens (Human)	2.3.2.23; 2.3.2.24	9606		O00762;	1I7K;4YII;5A31;5KHR;5L9U;8TAR;8TAU;	2.3.2.23;2.3.2.24;		O00762;		R-HSA-141430;R-HSA-174048;R-HSA-174084;R-HSA-174154;R-HSA-174178;R-HSA-174184;R-HSA-176407;R-HSA-176408;R-HSA-176409;R-HSA-176412;R-HSA-179409;R-HSA-2467813;R-HSA-2559582;R-HSA-68867;R-HSA-69017;R-HSA-8853884;R-HSA-8866652;R-HSA-9687136;R-HSA-983168;		O00762;	O00762;	UPA00143;
O00763	reviewed	ACACB_HUMAN	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta)	ACACB ACC2 ACCB	Homo sapiens (Human)	6.4.1.2	9606	RHEA:11308	O00763;	2DN8;2HJW;2KCC;3FF6;3GID;3GLK;3JRW;3JRX;3TDC;4HQ6;5KKN;	6.3.4.14;6.4.1.2;	MetaCyc:HS01211-MONOMER;	O00763;	O00763;	R-HSA-163765;R-HSA-196780;R-HSA-200425;R-HSA-2426168;		O00763;	O00763;	UPA00655;
O00764	reviewed	PDXK_HUMAN	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	PDXK C21orf124 C21orf97 PKH PNK PRED79	Homo sapiens (Human)	2.7.1.35	9606	RHEA:10224 RHEA:25104 RHEA:25108	O00764;	2AJP;2F7K;2YXT;2YXU;3FHX;3FHY;3KEU;4EN4;4EOH;	2.7.1.35;	MetaCyc:HS08466-MONOMER;	O00764;	O00764;	R-HSA-6798695;R-HSA-964975;			O00764;	UPA01068;UPA01068;UPA01068;
O00767	reviewed	SCD_HUMAN	Stearoyl-CoA desaturase (hSCD1) (EC 1.14.19.1) (Acyl-CoA desaturase) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase)	SCD FADS5 SCD1 SCDOS	Homo sapiens (Human)	1.14.19.1	9606	RHEA:19721 RHEA:36931	O00767;	4ZYO;	1.14.19.1;		O00767;		R-HSA-2426168;R-HSA-75105;R-HSA-9029558;		O00767;	O00767;	
O08679	reviewed	MARK2_RAT	Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2)	Mark2	Rattus norvegicus (Rat)	2.7.11.1; 2.7.11.26	10116	RHEA:17989 RHEA:46608 RHEA:12801 RHEA:53904	O08679;	1Y8G;1ZMU;1ZMV;1ZMW;2R0I;2WZJ;									
O08760	reviewed	OGG1_MOUSE	N-glycosylase/DNA lyase [Includes: 8-oxoguanine DNA glycosylase (EC 3.2.2.-); DNA-(apurinic or apyrimidinic site) lyase (AP lyase) (EC 4.2.99.18)]	Ogg1	Mus musculus (Mouse)	3.2.2.-; 4.2.99.18	10090	RHEA:66592	O08760;	6G3X;6G3Y;6G40;7AYZ;7AZ0;7PZ1;7QEL;7Z3Y;7Z5B;7Z5R;7ZC7;7ZG3;8BQ7;					R-MMU-110329;R-MMU-110330;R-MMU-110331;R-MMU-110357;R-MMU-5649702;				
